Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings
2010-05-14,Dallas,Birmingham,Birmingham,0,3
2010-05-14,Oakland,Denver,Oakland,2,1
2010-05-15,Calgary,Phoenix,Calgary,4,0
2010-05-15,Vancouver,Los Angeles,Vancouver,3,2
2010-05-15,Nashville,Merida,Nashville,4,2
2010-05-15,Atlanta,San Antonio,Atlanta,6,5
2010-05-15,Monterrey,Charlotte,Monterrey,6,4
2010-05-15,Tijuana,Seattle,Tijuana,7,3
2010-05-15,Dallas,Birmingham,Birmingham,2,9
2010-05-15,Oakland,Denver,Oakland,5,2
2010-05-16,Calgary,Phoenix,Calgary,5,2
2010-05-16,Vancouver,Los Angeles,Vancouver,4,3
2010-05-16,Nashville,Merida,Nashville,5,3
2010-05-16,Atlanta,San Antonio,Atlanta,10,4
2010-05-16,Monterrey,Charlotte,Monterrey,4,2
2010-05-16,Tijuana,Seattle,Tijuana,8,6
2010-05-16,Dallas,Birmingham,Dallas,5,3
2010-05-16,Oakland,Denver,Oakland,6,1
2010-05-17,Calgary,Phoenix,Calgary,2,1
2010-05-17,Vancouver,Los Angeles,Los Angeles,2,5
2010-05-17,Nashville,Merida,Nashville,6,3
2010-05-17,Denver,Oakland,Oakland,1,3
2010-05-17,Birmingham,Dallas,Birmingham,6,4
2010-05-18,Seattle,Los Angeles,Los Angeles,0,7
2010-05-18,Monterrey,Nashville,Nashville,2,8
2010-05-18,Merida,Atlanta,Atlanta,1,16
2010-05-18,Vancouver,Tijuana,Vancouver,5,4
2010-05-18,Phoenix,Calgary,Phoenix,6,2
2010-05-18,Denver,Oakland,Oakland,2,11
2010-05-18,Birmingham,Dallas,Birmingham,2,1
2010-05-19,Seattle,Los Angeles,Los Angeles,3,9
2010-05-19,Monterrey,Nashville,Monterrey,4,2
2010-05-19,Merida,Atlanta,Atlanta,5,11
2010-05-19,Vancouver,Tijuana,Vancouver,4,2
2010-05-19,Phoenix,Calgary,Calgary,1,7
2010-05-19,Charlotte,San Antonio,San Antonio,0,11
2010-05-19,Denver,Oakland,Denver,6,5
