Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-05-03,Merida,Denver,Merida,5,2,,,,,1
2010-05-03,Tijuana,Nashville,Nashville,4,6,,,,,1
2010-05-03,Los Angeles,Charlotte,Los Angeles,5,2,,,,,1
2010-05-03,Dallas,Seattle,Dallas,3,2,,,,,1
2010-05-03,Phoenix,Atlanta,Atlanta,1,10,,,,,1
2010-05-03,Vancouver,San Antonio,Vancouver,9,6,,,,,1
2010-04-02,Nashville,Birmingham,Tie in regulation,1,1,Nashville,3,2,12,1
2010-04-02,Seattle,Calgary,Tie in regulation,2,2,Calgary,3,5,3,1
2010-04-05,Atlanta,Birmingham,Tie in regulation,3,3,Birmingham,3,4,11,1
2010-04-05,Calgary,Seattle,Tie in regulation,2,2,Calgary,3,2,5,1
2010-04-09,Denver,Seattle,Tie in regulation,1,1,Seattle,1,4,12,1
2010-04-11,Monterrey,Merida,Tie in regulation,3,3,Monterrey,5,4,16,1
2010-04-15,Birmingham,Atlanta,Tie in regulation,9,9,Atlanta,9,12,27,1
2010-04-16,Vancouver,Seattle,Tie in regulation,3,3,Vancouver,7,4,12,1
2010-04-17,Phoenix,Oakland,Tie in regulation,6,6,Phoenix,7,6,6,1
2010-04-18,Calgary,Vancouver,Tie in regulation,2,2,Calgary,4,3,5,1
2010-04-19,Phoenix,Tijuana,Tie in regulation,5,5,Tijuana,5,6,6,1
2010-04-23,Birmingham,Phoenix,Tie in regulation,1,1,Birmingham,4,3,12,1
2010-04-23,Monterrey,Vancouver,Tie in regulation,3,3,Vancouver,5,7,12,1
2010-04-23,Nashville,Los Angeles,Tie in regulation,2,2,Nashville,5,4,36,1
2010-04-26,Merida,Calgary,Tie in regulation,2,2,Calgary,2,5,12,1
2010-04-30,Denver,San Antonio,Tie in regulation,3,3,Denver,7,5,18,1
2010-05-04,,,,,,,,,,1,1
2010-05-05,,,,,,,,,,1,1
2010-05-06,,,,,,,,,,1,1
2010-05-07,Birmingham,Dallas,Birmingham,3,2,,,,,1
2010-05-07,Nashville,San Antonio,San Antonio,1,7,,,,,1
2010-05-07,Monterrey,Charlotte,Charlotte,4,5,,,,,1
2010-05-07,Vancouver,Phoenix,Phoenix,2,3,,,,,1
2010-05-07,Calgary,Tijuana,Calgary,10,9,,,,,1
2010-05-08,Denver,Oakland,Oakland,4,6,,,,,1
2010-05-08,Los Angeles,Seattle,Los Angeles,6,1,,,,,1
2010-05-08,Atlanta,Merida,Merida,6,17,,,,,1
2010-05-08,Birmingham,Dallas,Dallas,2,6,,,,,1
2010-05-08,Nashville,San Antonio,Nashville,6,5,,,,,1
2010-05-08,Monterrey,Charlotte,Charlotte,5,9,,,,,1
2010-05-08,Vancouver,Phoenix,Vancouver,5,4,,,,,1
2010-05-08,Calgary,Tijuana,Tijuana,2,4,,,,,1
2010-05-09,Denver,Oakland,Denver,10,5,,,,,1
2010-05-09,Los Angeles,Seattle,Seattle,1,8,,,,,1
2010-05-09,Atlanta,Merida,Atlanta,4,3,,,,,1
2010-05-09,Birmingham,Dallas,Dallas,3,4,,,,,1
2010-05-09,Nashville,San Antonio,Nashville,4,3,,,,,1
2010-05-09,Monterrey,Charlotte,Monterrey,5,4,,,,,1
2010-05-09,Vancouver,Phoenix,Vancouver,8,4,,,,,1
2010-05-09,Calgary,Tijuana,Calgary,5,3,,,,,1
2010-05-10,Denver,Oakland,Oakland,1,9,,,,,1
2010-05-10,Los Angeles,Seattle,Los Angeles,4,1,,,,,1
2010-05-10,Atlanta,Merida,Atlanta,8,0,,,,,1
2010-05-10,Vancouver,Tijuana,Vancouver,5,3,,,,,1
2010-05-10,San Antonio,Birmingham,San Antonio,7,5,,,,,1
2010-05-11,Nashville,Merida,Nashville,2,1,,,,,1
2010-05-11,Phoenix,Seattle,Seattle,4,5,,,,,1
2010-05-11,Calgary,Los Angeles,Calgary,6,2,,,,,1
2010-05-11,Dallas,Charlotte,Dallas,3,1,,,,,1
2010-05-11,Vancouver,Tijuana,Tijuana,2,3,,,,,1
2010-05-11,San Antonio,Birmingham,San Antonio,6,0,,,,,1
2010-05-12,Nashville,Merida,Merida,3,4,,,,,1
2010-05-12,Phoenix,Seattle,Seattle,2,7,,,,,1
2010-05-12,Calgary,Los Angeles,Los Angeles,4,15,,,,,1
2010-05-12,Dallas,Charlotte,Dallas,4,3,,,,,1
2010-05-12,Atlanta,Monterrey,Monterrey,2,4,,,,,1
2010-05-12,Oakland,Denver,Denver,2,10,,,,,1
2010-05-12,Vancouver,Tijuana,Tijuana,1,2,,,,,1
