Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-09-06,Chicago,"Washington, D.C.","Washington, D.C.",3,7,,,,,1
2010-09-06,Toronto,St. Paul,Toronto,4,1,,,,,1
2010-09-06,New Haven,Akron,New Haven,4,1,,,,,1
2010-09-06,Pittsburgh,St. Louis,Pittsburgh,4,2,,,,,1
2010-09-06,Boston,Indianapolis,Indianapolis,3,5,,,,,1
2010-09-06,New York,Columbus,Columbus,0,16,,,,,1
2010-09-06,Montreal,Detroit,Montreal,5,1,,,,,1
2010-09-06,Philadelphia,Winnipeg,Philadelphia,2,1,,,,,1
2010-09-07,Chicago,"Washington, D.C.",Chicago,10,2,,,,,1
2010-09-07,New Haven,Akron,New Haven,10,1,,,,,1
2010-09-07,Pittsburgh,St. Louis,St. Louis,0,2,,,,,1
2010-09-07,Boston,Indianapolis,Indianapolis,1,3,,,,,1
2010-09-07,New York,Columbus,New York,7,2,,,,,1
2010-09-07,Montreal,Detroit,Montreal,4,0,,,,,1
2010-09-07,Philadelphia,Winnipeg,Philadelphia,3,2,,,,,1
2010-09-08,Chicago,"Washington, D.C.",Chicago,2,1,,,,,1
2010-09-08,Toronto,St. Paul,Toronto,5,3,,,,,1
2010-09-08,New Haven,Akron,New Haven,4,3,,,,,1
2010-09-08,Pittsburgh,St. Louis,Pittsburgh,2,0,,,,,1
2010-09-08,Boston,Indianapolis,Indianapolis,4,7,,,,,1
2010-09-08,New York,Columbus,Columbus,1,2,,,,,1
2010-09-08,Montreal,Detroit,Montreal,4,0,,,,,1
2010-09-08,Philadelphia,Winnipeg,Philadelphia,6,5,,,,,1
2010-09-09,New York,Detroit,Detroit,3,7,,,,,1
2010-09-09,Columbus,Montreal,Columbus,5,0,,,,,1
2010-09-09,St. Paul,Philadelphia,St. Paul,6,5,,,,,1
2010-09-09,Toronto,Chicago,Toronto,11,1,,,,,1
2010-09-09,Indianapolis,New Haven,Indianapolis,5,4,,,,,1
2010-09-09,"Washington, D.C.",St. Louis,"Washington, D.C.",4,1,,,,,1
