Sim Number,Standings Date,Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,1,Indianapolis,71,46,0,0.6068376068376068,0.58
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,2,Detroit,61,56,0,0.5213675213675214,0.426
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,3,Akron,59,57,0,0.5086206896551724,0.547
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,4,Columbus,53,63,0,0.45689655172413796,0.531
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Charlotte,59,51,7,0.5363636363636364,0.438
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,2,Nashville,55,55,7,0.5,0.601
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,3,Birmingham,53,59,4,0.4732142857142857,0.466
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,4,Atlanta,49,62,5,0.44144144144144143,0.534
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Nashville,60,57,0,0.5128205128205128,0.601
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Charlotte,60,57,0,0.5128205128205128,0.438
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,3,Birmingham,57,59,0,0.49137931034482757,0.466
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,4,Atlanta,53,63,0,0.45689655172413796,0.534
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,1,Monterrey,60,52,4,0.5357142857142857,0.571
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,2,Merida,61,55,1,0.5258620689655172,0.509
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,3,Dallas,54,59,3,0.4778761061946903,0.53
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,4,San Antonio,50,65,2,0.43478260869565216,0.472
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,1,Merida,62,55,0,0.5299145299145299,0.509
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,2,Monterrey,61,55,0,0.5258620689655172,0.571
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,3,Dallas,55,61,0,0.47413793103448276,0.53
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,4,San Antonio,51,66,0,0.4358974358974359,0.472
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,1,Vancouver,66,46,4,0.5892857142857143,0.623
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,2,Calgary,61,51,4,0.5446428571428571,0.565
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,3,Denver,60,51,6,0.5405405405405406,0.534
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,4,Seattle,55,59,3,0.4824561403508772,0.37
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,1,Vancouver,67,49,0,0.5775862068965517,0.623
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,2,Calgary,63,53,0,0.5431034482758621,0.565
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,3,Denver,61,56,0,0.5213675213675214,0.534
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,4,Seattle,57,60,0,0.48717948717948717,0.37
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,1,Los Angeles,58,56,3,0.5087719298245614,0.508
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,2,Phoenix,57,57,3,0.5,0.491
