Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
pre Wind-up,Part 3,Visionaries,East Division,Desert Group,4,Merida,52,57,6,0.477,0.531
post Wind-up,Part 3,Visionaries,East Division,Desert Group,1,Monterrey,73,43,0,0.629,0.559
post Wind-up,Part 3,Visionaries,East Division,Desert Group,2,San Antonio,59,56,0,0.513,0.591
post Wind-up,Part 3,Visionaries,East Division,Desert Group,3,Dallas,57,59,0,0.491,0.552
post Wind-up,Part 3,Visionaries,East Division,Desert Group,4,Merida,54,61,0,0.47,0.531
pre Wind-up,Part 3,Visionaries,West Division,Pass Group,1,Denver,58,53,4,0.523,0.54
pre Wind-up,Part 3,Visionaries,West Division,Pass Group,2,Vancouver,56,53,6,0.514,0.601
pre Wind-up,Part 3,Visionaries,West Division,Pass Group,3,Calgary,53,59,2,0.473,0.401
pre Wind-up,Part 3,Visionaries,West Division,Pass Group,4,Seattle,47,68,1,0.409,0.367
post Wind-up,Part 3,Visionaries,West Division,Pass Group,1,Denver,60,55,0,0.522,0.54
post Wind-up,Part 3,Visionaries,West Division,Pass Group,2,Vancouver,59,56,0,0.513,0.601
post Wind-up,Part 3,Visionaries,West Division,Pass Group,3,Calgary,54,60,0,0.474,0.401
post Wind-up,Part 3,Visionaries,West Division,Pass Group,4,Seattle,47,69,0,0.405,0.367
pre Wind-up,Part 3,Visionaries,West Division,Rush Group,1,Oakland,69,44,4,0.611,0.537
pre Wind-up,Part 3,Visionaries,West Division,Rush Group,2,Tijuana,57,57,2,0.5,0.475
pre Wind-up,Part 3,Visionaries,West Division,Rush Group,3,Los Angeles,51,60,4,0.459,0.497
pre Wind-up,Part 3,Visionaries,West Division,Rush Group,4,Phoenix,44,68,4,0.393,0.281
post Wind-up,Part 3,Visionaries,West Division,Rush Group,1,Oakland,73,44,0,0.624,0.537
post Wind-up,Part 3,Visionaries,West Division,Rush Group,2,Tijuana,58,58,0,0.5,0.475
post Wind-up,Part 3,Visionaries,West Division,Rush Group,3,Los Angeles,54,61,0,0.47,0.497
post Wind-up,Part 3,Visionaries,West Division,Rush Group,4,Phoenix,46,70,0,0.397,0.281
pre Wind-up,Part 4,Founders,East Division,Port Group,1,New Haven,84,64,7,0.568,0.574
pre Wind-up,Part 4,Founders,East Division,Port Group,2,Boston,73,75,8,0.493,0.51
pre Wind-up,Part 4,Founders,East Division,Port Group,3,New York,65,87,4,0.428,0.383
